query_flight_iata,airline_name,departure_airport,departure_iata,departure_scheduled,arrival_airport,arrival_iata,arrival_scheduled,flight_status
HX792,Hong Kong Airlines,Malé International Airport,MLE,2026-08-16T20:40:00+00:00,Hong Kong International,HKG,2026-08-17T06:40:00+00:00,scheduled
SL361,Thai Lion Air,Hong Kong International,HKG,2026-08-16T14:20:00+00:00,Don Muang,DMK,2026-08-16T16:05:00+00:00,active
SL360,Thai Lion Air,Don Muang,DMK,2026-08-16T09:20:00+00:00,Hong Kong International,HKG,2026-08-16T13:05:00+00:00,landed
CX629,Cathay Pacific,Hong Kong International,HKG,2026-08-16T14:30:00+00:00,Juanda,SUB,2026-08-16T18:15:00+00:00,landed
CX780,Cathay Pacific,Juanda,SUB,2026-08-16T08:10:00+00:00,Hong Kong International,HKG,2026-08-16T14:10:00+00:00,landed
BI636,Royal Brunei Airlines,Hong Kong International,HKG,2026-08-16T14:40:00+00:00,Bandar Seri Begwan International Airport,BWN,2026-08-16T17:40:00+00:00,active
BI635,Royal Brunei Airlines,Bandar Seri Begwan International Airport,BWN,2026-08-16T10:25:00+00:00,Hong Kong International,HKG,2026-08-16T13:35:00+00:00,landed
CX171,Cathay Pacific,Hong Kong International,HKG,2026-08-16T15:00:00+00:00,Perth International,PER,2026-08-16T22:40:00+00:00,active
CX143,Cathay Pacific,Hong Kong International,HKG,2026-08-16T23:15:00+00:00,Perth International,PER,2026-08-17T06:50:00+00:00,scheduled
CX170,Cathay Pacific,Perth International,PER,2026-08-17T00:10:00+00:00,Hong Kong International,HKG,2026-08-17T08:05:00+00:00,scheduled
CX184,Cathay Pacific,Perth International,PER,2026-08-16T08:20:00+00:00,Hong Kong International,HKG,2026-08-16T16:20:00+00:00,landed
CX876,Malaysia Airlines,Hong Kong International,HKG,2026-08-16T16:05:00+00:00,Dallas/Fort Worth International,DFW,2026-08-16T18:25:00+00:00,active
CX875,Malaysia Airlines,Dallas/Fort Worth International,DFW,2026-08-15T22:55:00+00:00,Hong Kong International,HKG,2026-08-17T04:05:00+00:00,active
FJ392,Finnair,Hong Kong International,HKG,2026-08-16T16:15:00+00:00,Nadi International,NAN,2026-08-17T06:25:00+00:00,active
FJ393,Fiji Airways,Nadi International,NAN,2026-08-15T23:30:00+00:00,Hong Kong International,HKG,2026-08-16T06:00:00+00:00,landed
CZ604,China Southern Airlines,Hong Kong International,HKG,2026-08-16T16:55:00+00:00,,URC,2026-08-16T22:25:00+00:00,active
CZ603,China Southern Airlines,Newport News Railway,URC,2026-08-16T10:20:00+00:00,Hong Kong International,HKG,2026-08-16T15:40:00+00:00,landed
CX998,Cathay Pacific,Hong Kong International,HKG,2026-08-17T01:15:00+00:00,,URC,2026-08-17T07:00:00+00:00,scheduled
CX997,Cathay Pacific,Newport News Railway,URC,2026-08-16T10:15:00+00:00,Hong Kong International,HKG,2026-08-16T16:05:00+00:00,landed
HX413,Hong Kong Airlines,Lijiang,LJG,2026-08-15T10:05:00+00:00,Hong Kong International,HKG,2026-08-15T13:20:00+00:00,landed
PG806,Bangkok Airways,Hong Kong International,HKG,2026-08-16T17:20:00+00:00,Koh Samui,USM,2026-08-16T19:40:00+00:00,active
PG807,Thai Airways,Koh Samui,USM,2026-08-16T11:55:00+00:00,Hong Kong International,HKG,2026-08-16T16:20:00+00:00,landed
CX663,Cathay Pacific,Hong Kong International,HKG,2026-08-16T20:35:00+00:00,Chhatrapati Shivaji International (Sahar International),BOM,2026-08-17T00:20:00+00:00,active
CX696,MIAT Mongolian Airlines,Chhatrapati Shivaji International (Sahar International),BOM,2026-08-15T22:25:00+00:00,Hong Kong International,HKG,2026-08-16T06:55:00+00:00,landed
CX660,Cathay Pacific,Chhatrapati Shivaji International (Sahar International),BOM,2026-08-16T01:40:00+00:00,Hong Kong International,HKG,2026-08-16T10:10:00+00:00,landed
CX683,Cathay Pacific,Hong Kong International,HKG,2026-08-15T17:20:00+00:00,Chhatrapati Shivaji International (Sahar International),BOM,2026-08-15T21:05:00+00:00,landed
UO272,HK express,Hong Kong International,HKG,2026-08-16T17:45:00+00:00,Changzhou,CZX,2026-08-16T20:15:00+00:00,active
UO273,HK express,Changzhou,CZX,2026-08-16T21:00:00+00:00,Hong Kong International,HKG,2026-08-16T23:35:00+00:00,scheduled
MU2068,China Eastern Airlines,Hong Kong International,HKG,2026-08-16T18:10:00+00:00,Shanghai,HFE,2026-08-16T20:30:00+00:00,landed
MU2067,China Eastern Airlines,Shanghai,HFE,2026-08-16T14:40:00+00:00,Hong Kong International,HKG,2026-08-16T17:10:00+00:00,landed
CX603,Cathay Pacific,Hong Kong International,HKG,2026-08-16T18:55:00+00:00,Tribhuvan International,KTM,2026-08-16T21:45:00+00:00,active
CX640,Cathay Pacific,Tribhuvan International,KTM,2026-08-16T23:00:00+00:00,Hong Kong International,HKG,2026-08-17T06:00:00+00:00,scheduled
ZH8042,Shenzhen Airlines,Hong Kong International,HKG,2026-08-16T18:55:00+00:00,,NNG,2026-08-16T20:40:00+00:00,landed
ZH8041,Air China,Zhongshan Ferry Port,NNG,2026-08-16T16:05:00+00:00,Hong Kong International,HKG,2026-08-16T17:55:00+00:00,active
CX812,MIAT Mongolian Airlines,Hong Kong International,HKG,2026-08-16T19:10:00+00:00,Logan International,BOS,2026-08-16T23:05:00+00:00,active
CX811,MIAT Mongolian Airlines,Logan International,BOS,2026-08-16T01:45:00+00:00,Hong Kong International,HKG,2026-08-17T05:00:00+00:00,active
CX113,Cathay Pacific,Hong Kong International,HKG,2026-08-16T21:10:00+00:00,Auckland International,AKL,2026-08-17T11:50:00+00:00,active
CX198,Qatar Airways,Auckland International,AKL,2026-08-16T13:25:00+00:00,Hong Kong International,HKG,2026-08-16T21:05:00+00:00,scheduled
EY871,Hong Kong Airlines,Hong Kong International,HKG,2026-08-16T20:20:00+00:00,Abu Dhabi International,AUH,2026-08-17T00:35:00+00:00,active
EY870,Hong Kong Airlines,Abu Dhabi International,AUH,2026-08-16T21:10:00+00:00,Hong Kong International,HKG,2026-08-17T09:00:00+00:00,scheduled
CX611,Cathay Pacific,Hong Kong International,HKG,2026-08-16T20:35:00+00:00,Bandaranaike International,CMB,2026-08-16T23:30:00+00:00,active
CX612,Cathay Pacific,Bandaranaike International,CMB,2026-08-16T00:50:00+00:00,Hong Kong International,HKG,2026-08-16T09:10:00+00:00,scheduled
