Flight Number,Airline Code,Departure Airport,Arrival Airport,Flight Duration (Approx)
CX 395,CPA,Beijing Capital International Airport (PEK),Hong Kong International Airport (HKG),3hr 40mins
CX 345,CPA,Beijing Capital International Airport (PEK),Hong Kong International Airport (HKG),3hr 40mins
CX 347,CPA,Beijing Capital International Airport (PEK),Hong Kong International Airport (HKG),3hr 40mins
CX 335,CPA,Beijing Capital International Airport (PEK),Hong Kong International Airport (HKG),3hr 40mins
CX 391,CPA,Beijing Capital International Airport (PEK),Hong Kong International Airport (HKG),3hr 40mins
CX 331,CPA,Beijing Capital International Airport (PEK),Hong Kong International Airport (HKG),3hr 40mins
CX 393,CPA,Beijing Capital International Airport (PEK),Hong Kong International Airport (HKG),3hr 40mins
CX 337,CPA,Beijing Capital International Airport (PEK),Hong Kong International Airport (HKG),3hr 40mins
CA 118,CCA,Hong Kong International Airport (HKG),Beijing Capital International Airport (PEK),3hr 20mins
CA 108,CCA,Hong Kong International Airport (HKG),Beijing Capital International Airport (PEK),3hr 20mins
CA 102,CCA,Hong Kong International Airport (HKG),Beijing Capital International Airport (PEK),3hr 20mins
CA 112,CCA,Hong Kong International Airport (HKG),Beijing Capital International Airport (PEK),3hr 20mins
CA 110,CCA,Hong Kong International Airport (HKG),Beijing Capital International Airport (PEK),3hr 20mins
CA 116,CCA,Hong Kong International Airport (HKG),Beijing Capital International Airport (PEK),3hr 20mins
CA 101,CCA,Beijing Capital International Airport (PEK),Hong Kong International Airport (HKG),3hr 40mins
CA 111,CCA,Beijing Capital International Airport (PEK),Hong Kong International Airport (HKG),3hr 40mins
CA 109,CCA,Beijing Capital International Airport (PEK),Hong Kong International Airport (HKG),3hr 40mins
CA 115,CCA,Beijing Capital International Airport (PEK),Hong Kong International Airport (HKG),3hr 40mins
CA 117,CCA,Beijing Capital International Airport (PEK),Hong Kong International Airport (HKG),3hr 40mins
CA 107,CCA,Beijing Capital International Airport (PEK),Hong Kong International Airport (HKG),3hr 40mins
HX 336,CRK,Hong Kong International Airport (HKG),Beijing Capital International Airport (PEK),3hr 20mins
HX 304,CRK,Hong Kong International Airport (HKG),Beijing Capital International Airport (PEK),3hr 20mins
HX 337,CRK,Beijing Capital International Airport (PEK),Hong Kong International Airport (HKG),3hr 40mins
HX 305,CRK,Beijing Capital International Airport (PEK),Hong Kong International Airport (HKG),3hr 40mins
UO 704,HKE,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
UO 700,HKE,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
UO 758,HKE,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
UO 702,HKE,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
UO 732,HKE,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
UO 733,HKE,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
UO 705,HKE,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
UO 701,HKE,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
UO 759,HKE,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
UO 703,HKE,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
TG 603,THA,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
TG 601,THA,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
TG 629,THA,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
TG 639,THA,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
TG 600,THA,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
TG 628,THA,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
TG 638,THA,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
TG 602,THA,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
CX 705,CPA,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
CX 717,CPA,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
CX 755,CPA,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
CX 653,CPA,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
CX 775,CPA,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
CX 751,CPA,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
CX 701,CPA,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
CX 617,CPA,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
CX 700,CPA,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
CX 750,CPA,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
CX 774,CPA,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
CX 754,CPA,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
CX 654,CPA,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
CX 706,CPA,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
CX 708,CPA,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
CX 704,CPA,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
HX 775,CRK,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
HX 759,CRK,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
HX 760,CRK,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
HX 776,CRK,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
EK 385,UAE,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
HB 2295,HGB,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
HB 2296,HGB,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
HB 281,HGB,Hong Kong International Airport (HKG),Suvarnabhumi Airport (BKK),2hr 0mins
HB 282,HGB,Suvarnabhumi Airport (BKK),Hong Kong International Airport (HKG),4hr 10mins
MU 726,CES,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
MU 724,CES,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
MU 502,CES,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
MU 508,CES,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
MU 510,CES,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
MU 506,CES,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
MU 7366,CES,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
MU 7365,CES,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
MU 501,CES,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
MU 507,CES,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
MU 509,CES,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
MU 505,CES,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
MU 723,CES,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
MU 725,CES,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
HX 236,CRK,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
HX 246,CRK,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
HX 232,CRK,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
HX 234,CRK,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
HX 231,CRK,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
HX 235,CRK,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
HX 237,CRK,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
HX 247,CRK,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
CX 316,CPA,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
CX 368,CPA,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
CX 376,CPA,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
CX 360,CPA,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
CX 380,CPA,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
CX 364,CPA,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
CX 362,CPA,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
CX 302,CPA,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
CX 303,CPA,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
CX 361,CPA,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
CX 365,CPA,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
CX 319,CPA,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
CX 367,CPA,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
CX 377,CPA,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
CX 369,CPA,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
CX 381,CPA,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
FM 812,CSH,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
FM 811,CSH,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
HO 1292,DKH,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
HO 1291,DKH,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
9C 8716,CQH,Hong Kong International Airport (HKG),Shanghai Pudong International Airport (PVG),2hr 45mins
9C 8715,CQH,Shanghai Pudong International Airport (PVG),Hong Kong International Airport (HKG),2hr 25mins
UO 522,HKE,Hong Kong International Airport (HKG),Clark International Airport (CRK),2hr 5mins
UO 523,HKE,Clark International Airport (CRK),Hong Kong International Airport (HKG),2hr 10mins
