Flight Number,Airline Code,Departure Airport,Arrival Airport,Flight Duration (Approx)
7C 6013,JJA,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
7C 6014,JJA,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
BX 3935,ABL,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
BX 3945,ABL,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
CX 410,CPA,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
CX 411,CPA,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
CX 413,CPA,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
CX 418,CPA,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
CX 419,CPA,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
CX 426,CPA,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
CX 427,CPA,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
CX 430,CPA,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
CX 434,CPA,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
CX 439,CPA,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
HX 626,CRK,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
HX 627,CRK,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
HX 628,CRK,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
HX 629,CRK,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
KE 2001,KAL,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
KE 2002,KAL,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
KE 2005,KAL,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
KE 2006,KAL,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
KE 2011,KAL,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
KE 2012,KAL,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
OZ 721,AAR,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
OZ 722,AAR,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
OZ 745,AAR,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
OZ 746,AAR,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
TW 643,TWB,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
TW 644,TWB,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
UO 614,HKE,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
UO 615,HKE,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
UO 616,HKE,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
UO 617,HKE,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
UO 618,HKE,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
UO 619,HKE,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
UO 626,HKE,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
UO 627,HKE,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
UO 630,HKE,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
UO 631,HKE,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
YP 801,APZ,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
YP 802,APZ,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
ZE 861,ESR,Incheon International Airport (ICN),Hong Kong International Airport (HKG),2hr 55mins
ZE 862,ESR,Hong Kong International Airport (HKG),Incheon International Airport (ICN),4hr 55mins
CX 502,CPA,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
CX 503,CPA,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
CX 506,CPA,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
CX 507,CPA,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
CX 565,CPA,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
CX 566,CPA,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
CX 569,CPA,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
CX 595,CPA,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
CX 596,CPA,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
CX 597,CPA,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
CX 598,CPA,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
HB 2346,HGB,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
HB 2347,HGB,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
HB 2348,HGB,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
HB 2349,HGB,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
HB 2352,HGB,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
HB 2353,HGB,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
HB 340,HGB,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
HB 341,HGB,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
HX 612,CRK,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
HX 613,CRK,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
HX 614,CRK,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
HX 615,CRK,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
HX 616,CRK,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
HX 617,CRK,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
HX 618,CRK,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
HX 619,CRK,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
HX 632,CRK,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
HX 633,CRK,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
MM 067,APJ,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
MM 068,APJ,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
UO 686,HKE,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
UO 687,HKE,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
UO 688,HKE,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
UO 689,HKE,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
UO 810,HKE,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
UO 850,HKE,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
UO 851,HKE,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
UO 862,HKE,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
UO 863,HKE,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
UO 898,HKE,Hong Kong International Airport (HKG),Kansai International Airport (KIX),4hr 45mins
UO 899,HKE,Kansai International Airport (KIX),Hong Kong International Airport (HKG),3hr 20mins
CX 451,CPA,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
CX 500,CPA,Hong Kong International Airport (HKG),Narita International Airport (NRT),5hr 30mins
CX 501,CPA,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
CX 504,CPA,Hong Kong International Airport (HKG),Narita International Airport (NRT),5hr 30mins
CX 505,CPA,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
CX 509,CPA,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
CX 520,CPA,Hong Kong International Airport (HKG),Narita International Airport (NRT),5hr 30mins
CX 521,CPA,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
CX 524,CPA,Hong Kong International Airport (HKG),Narita International Airport (NRT),5hr 30mins
CX 526,CPA,Hong Kong International Airport (HKG),Narita International Airport (NRT),5hr 30mins
CX 527,CPA,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
GK 027,JJP,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
GK 028,JJP,Hong Kong International Airport (HKG),Narita International Airport (NRT),5hr 30mins
HB 320,HGB,Hong Kong International Airport (HKG),Narita International Airport (NRT),5hr 30mins
HB 321,HGB,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
HB 322,HGB,Hong Kong International Airport (HKG),Narita International Airport (NRT),5hr 30mins
HB 323,HGB,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
HX 604,CRK,Hong Kong International Airport (HKG),Narita International Airport (NRT),5hr 30mins
HX 605,CRK,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
HX 606,CRK,Hong Kong International Airport (HKG),Narita International Airport (NRT),5hr 30mins
HX 607,CRK,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
HX 608,CRK,Hong Kong International Airport (HKG),Narita International Airport (NRT),5hr 30mins
HX 609,CRK,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
HX 630,CRK,Hong Kong International Airport (HKG),Narita International Airport (NRT),5hr 30mins
HX 631,CRK,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
JL 735,JAL,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
JL 736,JAL,Hong Kong International Airport (HKG),Narita International Airport (NRT),5hr 30mins
NH 811,ANA,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
NH 812,ANA,Hong Kong International Airport (HKG),Narita International Airport (NRT),5hr 30mins
UO 646,HKE,Hong Kong International Airport (HKG),Narita International Airport (NRT),5hr 30mins
UO 647,HKE,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
UO 650,HKE,Hong Kong International Airport (HKG),Narita International Airport (NRT),5hr 30mins
UO 651,HKE,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
UO 652,HKE,Hong Kong International Airport (HKG),Narita International Airport (NRT),5hr 30mins
UO 653,HKE,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
UO 848,HKE,Hong Kong International Airport (HKG),Narita International Airport (NRT),5hr 30mins
UO 849,HKE,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
UO 854,HKE,Hong Kong International Airport (HKG),Narita International Airport (NRT),5hr 30mins
UO 857,HKE,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
UO 870,HKE,Hong Kong International Airport (HKG),Narita International Airport (NRT),5hr 30mins
UO 871,HKE,Narita International Airport (NRT),Hong Kong International Airport (HKG),2hr 0mins
CX 635,CPA,Hong Kong International Airport (HKG),Singapore Changi International Airport (SIN),4hr 0mins
CX 636,CPA,Singapore Changi International Airport (SIN),Hong Kong International Airport (HKG),4hr 5mins
CX 652,CPA,Singapore Changi International Airport (SIN),Hong Kong International Airport (HKG),4hr 5mins
CX 658,CPA,Singapore Changi International Airport (SIN),Hong Kong International Airport (HKG),4hr 5mins
CX 659,CPA,Hong Kong International Airport (HKG),Singapore Changi International Airport (SIN),4hr 0mins
CX 691,CPA,Hong Kong International Airport (HKG),Singapore Changi International Airport (SIN),4hr 0mins
CX 710,CPA,Singapore Changi International Airport (SIN),Hong Kong International Airport (HKG),4hr 5mins
CX 711,CPA,Hong Kong International Airport (HKG),Singapore Changi International Airport (SIN),4hr 0mins
CX 714,CPA,Singapore Changi International Airport (SIN),Hong Kong International Airport (HKG),4hr 5mins
CX 715,CPA,Hong Kong International Airport (HKG),Singapore Changi International Airport (SIN),4hr 0mins
CX 716,CPA,Singapore Changi International Airport (SIN),Hong Kong International Airport (HKG),4hr 5mins
CX 734,CPA,Singapore Changi International Airport (SIN),Hong Kong International Airport (HKG),4hr 5mins
CX 739,CPA,Hong Kong International Airport (HKG),Singapore Changi International Airport (SIN),4hr 0mins
CX 758,CPA,Singapore Changi International Airport (SIN),Hong Kong International Airport (HKG),4hr 5mins
CX 759,CPA,Hong Kong International Airport (HKG),Singapore Changi International Airport (SIN),4hr 0mins
CX 791,CPA,Hong Kong International Airport (HKG),Singapore Changi International Airport (SIN),4hr 0mins
SQ 874,SIA,Singapore Changi International Airport (SIN),Hong Kong International Airport (HKG),4hr 5mins
SQ 875,SIA,Hong Kong International Airport (HKG),Singapore Changi International Airport (SIN),4hr 0mins
SQ 882,SIA,Singapore Changi International Airport (SIN),Hong Kong International Airport (HKG),4hr 5mins
SQ 883,SIA,Hong Kong International Airport (HKG),Singapore Changi International Airport (SIN),4hr 0mins
SQ 892,SIA,Singapore Changi International Airport (SIN),Hong Kong International Airport (HKG),4hr 5mins
SQ 893,SIA,Hong Kong International Airport (HKG),Singapore Changi International Airport (SIN),4hr 0mins
SQ 894,SIA,Singapore Changi International Airport (SIN),Hong Kong International Airport (HKG),4hr 5mins
SQ 895,SIA,Hong Kong International Airport (HKG),Singapore Changi International Airport (SIN),4hr 0mins
SQ 898,SIA,Singapore Changi International Airport (SIN),Hong Kong International Airport (HKG),4hr 5mins
SQ 899,SIA,Hong Kong International Airport (HKG),Singapore Changi International Airport (SIN),4hr 0mins
TR 982,TGW,Singapore Changi International Airport (SIN),Hong Kong International Airport (HKG),4hr 5mins
TR 983,TGW,Hong Kong International Airport (HKG),Singapore Changi International Airport (SIN),4hr 0mins
CX 512,CPA,Hong Kong International Airport (HKG),Fukuoka Airport (FUK),4hr 30mins
CX 513,CPA,Fukuoka Airport (FUK),Hong Kong International Airport (HKG),2hr 45mins
CX 528,CPA,Hong Kong International Airport (HKG),Fukuoka Airport (FUK),4hr 30mins
CX 529,CPA,Fukuoka Airport (FUK),Hong Kong International Airport (HKG),2hr 45mins
CX 588,CPA,Hong Kong International Airport (HKG),Fukuoka Airport (FUK),4hr 30mins
CX 589,CPA,Fukuoka Airport (FUK),Hong Kong International Airport (HKG),2hr 45mins
HB 308,HGB,Hong Kong International Airport (HKG),Fukuoka Airport (FUK),4hr 30mins
HB 309,HGB,Fukuoka Airport (FUK),Hong Kong International Airport (HKG),2hr 45mins
HB 382,HGB,Hong Kong International Airport (HKG),Fukuoka Airport (FUK),4hr 30mins
HB 383,HGB,Fukuoka Airport (FUK),Hong Kong International Airport (HKG),2hr 45mins
HX 638,CRK,Hong Kong International Airport (HKG),Fukuoka Airport (FUK),4hr 30mins
HX 639,CRK,Fukuoka Airport (FUK),Hong Kong International Airport (HKG),2hr 45mins
HX 640,CRK,Hong Kong International Airport (HKG),Fukuoka Airport (FUK),4hr 30mins
HX 641,CRK,Fukuoka Airport (FUK),Hong Kong International Airport (HKG),2hr 45mins
UO 600,HKE,Hong Kong International Airport (HKG),Fukuoka Airport (FUK),4hr 30mins
UO 601,HKE,Fukuoka Airport (FUK),Hong Kong International Airport (HKG),2hr 45mins
UO 638,HKE,Hong Kong International Airport (HKG),Fukuoka Airport (FUK),4hr 30mins
UO 639,HKE,Fukuoka Airport (FUK),Hong Kong International Airport (HKG),2hr 45mins
UO 668,HKE,Hong Kong International Airport (HKG),Fukuoka Airport (FUK),4hr 30mins
UO 669,HKE,Fukuoka Airport (FUK),Hong Kong International Airport (HKG),2hr 45mins
UO 694,HKE,Hong Kong International Airport (HKG),Fukuoka Airport (FUK),4hr 30mins
UO 695,HKE,Fukuoka Airport (FUK),Hong Kong International Airport (HKG),2hr 45mins
HB 336,HGB,Hong Kong International Airport (HKG),Naha Airport (OKA),3hr 20mins
HB 336D,HGB,Hong Kong International Airport (HKG),Naha Airport (OKA),3hr 20mins
HB 336Z,HGB,Hong Kong International Airport (HKG),Naha Airport (OKA),3hr 20mins
HB 337,HGB,Naha Airport (OKA),Hong Kong International Airport (HKG),1hr 30mins
HB 337D,HGB,Naha Airport (OKA),Hong Kong International Airport (HKG),1hr 30mins
HB 337Z,HGB,Naha Airport (OKA),Hong Kong International Airport (HKG),1hr 30mins
HX 658,CRK,Hong Kong International Airport (HKG),Naha Airport (OKA),3hr 20mins
HX 658D,CRK,Hong Kong International Airport (HKG),Naha Airport (OKA),3hr 20mins
HX 659,CRK,Naha Airport (OKA),Hong Kong International Airport (HKG),1hr 30mins
HX 659D,CRK,Naha Airport (OKA),Hong Kong International Airport (HKG),1hr 30mins
HX 676,CRK,Hong Kong International Airport (HKG),Naha Airport (OKA),3hr 20mins
HX 676D,CRK,Hong Kong International Airport (HKG),Naha Airport (OKA),3hr 20mins
HX 679,CRK,Naha Airport (OKA),Hong Kong International Airport (HKG),1hr 30mins
HX 679D,CRK,Naha Airport (OKA),Hong Kong International Airport (HKG),1hr 30mins
UO 824,HKE,Hong Kong International Airport (HKG),Naha Airport (OKA),3hr 20mins
UO 825,HKE,Naha Airport (OKA),Hong Kong International Airport (HKG),1hr 30mins
UO 842,HKE,Hong Kong International Airport (HKG),Naha Airport (OKA),3hr 20mins
UO 843,HKE,Naha Airport (OKA),Hong Kong International Airport (HKG),1hr 30mins
UO 844,HKE,Hong Kong International Airport (HKG),Naha Airport (OKA),3hr 20mins
UO 845,HKE,Naha Airport (OKA),Hong Kong International Airport (HKG),1hr 30mins
HB 2531,HGB,Hong Kong International Airport (HKG),Da Nang International Airport (DAD),1hr 55mins
HB 2532,HGB,Da Nang International Airport (DAD),Hong Kong International Airport (HKG),1hr 50mins
HB 2549,HGB,Hong Kong International Airport (HKG),Da Nang International Airport (DAD),2hr 0mins
HB 2550,HGB,Da Nang International Airport (DAD),Hong Kong International Airport (HKG),3hr 10mins
HX 542,CRK,Hong Kong International Airport (HKG),Da Nang International Airport (DAD),0hr 45mins
HX 543,CRK,Da Nang International Airport (DAD),Hong Kong International Airport (HKG),3hr 0mins
